"","tsn","scientificname","kingdom","phylum","classname","ordername","family","genus","species","myersname","commonname1","commonname2","myersscientificname","myersfamily"
"116",166719,"Sebastes entomelas","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","entomelas","WROCK","Widow rockfish","NA","NA","NA"
"117",173002,"Solea solea","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Solea","solea","SOLE","Sole","Common sole","NA","NA"
"118",647939,"Dentex tumifrons","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Dentex","tumifrons","YSBREAM","Yellowback seabream","Yellow sea bream","NA","NA"
"119",169231,"Chrysophrys auratus","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Chrysophrys","auratus","NZSNAP","New Zealand snapper","Snapper","NA","NA"
"120",169207,"Pagrus pagrus","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Pagrus","pagrus","RPORGY","Common seabream","Red porgy","NA","NA"
"121",647892,"Pagrus major","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Pagrus","major","SBREAM","Red seabream","Sea bream","NA","NA"
"122",169182,"Stenotomus chrysops","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Stenotomus","chrysops","SCUP","Scup","NA","NA","NA"
"123",172482,"Xiphias gladius","Animalia","Chordata","Actinopterygii","Perciformes","Xiphiidae","Xiphias","gladius","SWORD","Swordfish","NA","NA","NA"
"124",630979,"Zoarces americanus","Animalia","Chordata","Actinopterygii","Perciformes","Zoarcidae","Zoarces","americanus","OPOUT","Ocean pout","NA","NA","NA"
"125",162064,"Argentina silus","Animalia","Chordata","Actinopterygii","Osmeriformes","Argentinidae","Argentina","silus","ARGEN","Atlantic argentine","NA","NA","NA"
"126",162144,"Esox masquinongy","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","Esox","masquinongy","MASKINOGIES","Maskinonge","NA","NA","NA"
"127",162139,"Esox lucius","Animalia","Chordata","Actinopterygii","Esociformes","Esocidae","Esox","lucius","PIKE","Pike","NA","NA","NA"
"128",162027,"Plecoglossus altivelis","Animalia","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Plecoglossus","altivelis","AYU","Ayu","NA","NA","NA"
"129",161996,"Salmo salar","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo","salar","ASAL","Atlantic salmon","NA","NA","NA"
"130",623394,"Coregonus hoyi","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus","hoyi","BLO","Bloater","NA","NA","NA"
"131",161997,"Salmo trutta","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo","trutta","BRNTRO","Brown Trout","NA","NA","NA"
"132",162003,"Salvelinus fontinalis","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus","fontinalis","BTRO","Freshwater brook trout","NA","NA","NA"
"133",161980,"Oncorhynchus tshawytscha","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","tshawytscha","CHNK","Chinook salmon","NA","NA","NA"
"134",161976,"Oncorhynchus keta","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","keta","CHUM","Chum salmon","NA","NA","NA"
"135",161977,"Oncorhynchus kisutch","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","kisutch","COHO","Coho salmon","NA","NA","NA"
"136",162002,"Salvelinus namaycush","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus","namaycush","LTRO","Lake trout","NA","NA","NA"
"137",161941,"Coregonus clupeaformis","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus","clupeaformis","LWHFSH","Lake Whitefish","NA","NA","NA"
"138",161975,"Oncorhynchus gorbuscha","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","gorbuscha","PINK","Pink salmon","NA","NA","NA"
